B00001,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,,,,,,,,
B00001,dimensions,,,,,,,,
B00001,values,['Total '],,,,,,,
B23001,SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER,,,,,,,,
B23001,dimensions,,Sex,Age,Labor Force Participation,Employment Status,Employment Status,,
B23001,values,['Total:'],"['Male:', 'Female:']","['20 and 21 years:', '35 to 44 years:', '62 to 64 years:', '55 to 59 years:', '', '70 to 74 years:', '22 to 24 years:', '25 to 29 years:', '60 and 61 years:', '30 to 34 years:', '65 to 69 years:', '45 to 54 years:', '75 years and over:', '16 to 19 years:']","['', 'Not in labor force', 'In labor force:']","['', 'In Armed Forces', 'Civilian:']","['', 'Employed', 'Unemployed']",,
C23002A,SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER ,,,,,,,,
C23002A,dimensions,,Sex,Age,Labor Force Participation,Employment Status,Employment Status,,
C23002A,values,['Total:'],"['Male:', 'Female:']","['', '16 to 64 years:', '65 years and over:']","['', 'Not in labor force', 'In labor force:']","['', 'In Armed Forces', 'Civilian:']","['', 'Employed', 'Unemployed']",,
C23002B,SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER ,,,,,,,,
C23002B,dimensions,,Sex,Age,Labor Force Participation,Employment Status,Employment Status,,
C23002B,values,['Total:'],"['Male:', 'Female:']","['', '16 to 64 years:', '65 years and over:']","['', 'Not in labor force', 'In labor force:']","['', 'In Armed Forces', 'Civilian:']","['', 'Employed', 'Unemployed']",,
B23003,PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY AGE OF OWN CHILDREN UNDER 18 YEARS BY EMPLOYMENT STATUS FOR FEMALES 20 TO 64 YEARS,,,,,,,,
B23003,dimensions,,Presence of Children,Age of Children,Labor Force Participation,Employment Status,Employment Status,,
B23003,values,['Total:'],"['No own children of the householder under 18 years:', 'With own children of the householder under 18 years:']","['', 'Under 6 years only:', 'Under 6 years and 6 to 17 years:', '6 to 17 years only:']","['', 'Not in labor force ', 'In labor force:']","['', 'In Armed Forces ', 'Civilian:']","['', 'Employed ', 'Unemployed ']",,
C23002C,SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER ,,,,,,,,
C23002C,dimensions,,Sex,Age,Labor Force Participation,Employment Status,Employment Status,,
C23002C,values,['Total:'],"['Male:', 'Female:']","['', '16 to 64 years:', '65 years and over:']","['', 'Not in labor force', 'In labor force:']","['', 'In Armed Forces', 'Civilian:']","['', 'Employed', 'Unemployed']",,
C23002D,SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER ,,,,,,,,
C23002D,dimensions,,Sex,Age,Labor Force Participation,Employment Status,Employment Status,,
C23002D,values,['Total:'],"['Male:', 'Female:']","['', '16 to 64 years:', '65 years and over:']","['', 'Not in labor force', 'In labor force:']","['', 'In Armed Forces', 'Civilian:']","['', 'Employed', 'Unemployed']",,
C23002E,SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER ,,,,,,,,
C23002E,dimensions,,Sex,Age,Labor Force Participation,Employment Status,Employment Status,,
C23002E,values,['Total:'],"['Male:', 'Female:']","['', '16 to 64 years:', '65 years and over:']","['', 'Not in labor force', 'In labor force:']","['', 'In Armed Forces', 'Civilian:']","['', 'Employed', 'Unemployed']",,
C23002F,SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER ,,,,,,,,
C23002F,dimensions,,Sex,Age,Labor Force Participation,Employment Status,Employment Status,,
C23002F,values,['Total:'],"['Male:', 'Female:']","['', '16 to 64 years:', '65 years and over:']","['', 'Not in labor force', 'In labor force:']","['', 'In Armed Forces', 'Civilian:']","['', 'Employed', 'Unemployed']",,
C23002G,SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER ,,,,,,,,
C23002G,dimensions,,Sex,Age,Labor Force Participation,Employment Status,Employment Status,,
C23002G,values,['Total:'],"['Male:', 'Female:']","['', '16 to 64 years:', '65 years and over:']","['', 'Not in labor force', 'In labor force:']","['', 'In Armed Forces', 'Civilian:']","['', 'Employed', 'Unemployed']",,
C23002H,SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER ,,,,,,,,
C23002H,dimensions,,Sex,Age,Labor Force Participation,Employment Status,Employment Status,,
C23002H,values,['Total:'],"['Male:', 'Female:']","['', '16 to 64 years:', '65 years and over:']","['', 'Not in labor force', 'In labor force:']","['', 'In Armed Forces', 'Civilian:']","['', 'Employed', 'Unemployed']",,
C23002I,SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER ,,,,,,,,
C23002I,dimensions,,Sex,Age,Labor Force Participation,Employment Status,Employment Status,,
C23002I,values,['Total:'],"['Male:', 'Female:']","['', '16 to 64 years:', '65 years and over:']","['', 'Not in labor force', 'In labor force:']","['', 'In Armed Forces', 'Civilian:']","['', 'Employed', 'Unemployed']",,
B23006,EDUCATIONAL ATTAINMENT BY EMPLOYMENT STATUS FOR THE POPULATION 25 TO 64 YEARS,,,,,,,,
B23006,dimensions,,Educational Attainment,Labor Force Participation,Employment Status,Employment Status,,,
B23006,values,['Total:'],"[""Some college or associate's degree:"", 'Less than high school graduate:', 'High school graduate (includes equivalency):', ""Bachelor's degree or higher:""]","['', 'Not in labor force ', 'In labor force:']","['', 'In Armed Forces ', 'Civilian:']","['', 'Employed ', 'Unemployed ']",,,
B23007,PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY EMPLOYMENT STATUS,,,,,,,,
B23007,dimensions,,Presence of Children,Family Type,Family Type,Labor Force Participation,Employment Status,Labor Force Participation,Employment Status
B23007,values,['Total:'],"['No children under 18 years:', 'With own children under 18 years:']","['', 'Married-couple family:', 'Other family:']","['', 'Female householder, no husband present:', 'Male householder, no wife present:']","['', 'Husband not in labor force:', 'Husband in labor force:', 'In labor force:', 'Not in labor force ']","['', 'Unemployed:', 'Employed or in Armed Forces:', 'Unemployed ', 'Employed or in Armed Forces ']","['', 'Wife not in labor force ', 'Wife in labor force:']","['Employed or in Armed Forces ', '', 'Unemployed ']"
B23008,AGE OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS BY EMPLOYMENT STATUS OF PARENTS,,,,,,,,
B23008,dimensions,,Age of Children,Family Type,Family Type,Labor Force Participation,,,
B23008,values,['Total:'],"['Under 6 years:', '6 to 17 years:']","['Living with one parent:', '', 'Living with two parents:']","['', 'Living with mother:', 'Both parents in labor force', 'Neither parent in labor force', 'Father only in labor force', 'Mother only in labor force', 'Living with father:']","['', 'Not in labor force', 'In labor force']",,,
B23009,PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY NUMBER OF WORKERS IN FAMILY IN THE PAST 12 MONTHS,,,,,,,,
B23009,dimensions,,Presence of Children,Family Type,Family Type,Number of Workers,Number of Workers,,
B23009,values,['Total:'],"['No own children of the householder under 18 years:', 'With own children of the householder under 18 years:']","['', 'Married-couple family:', 'Other family:']","['', 'Female householder, no husband present:', 'Male householder, no wife present:']","['', '2 workers ', '1 worker ', '3 or more workers:', 'No workers ', '3 or more workers ', '2 workers:']","['', 'Husband and wife worked ', 'Other ']",,
B23010,PRESENCE OF OWN CHILDREN UNDER 18 YEARS IN MARRIED-COUPLE FAMILIES BY WORK EXPERIENCE OF HOUSEHOLDER AND SPOUSE,,,,,,,,
B23010,dimensions,,Presence of Children,Employment Status,Employment Status,,,,
B23010,values,['Total:'],"['No own children of the householder under 18 years:', 'With own children of the householder under 18 years:']","['', 'Householder did not work in the past 12 months:', 'Householder worked less than full-time, year-round in the past 12 months:', 'Householder worked full-time, year-round in the past 12 months:']","['', 'Spouse did not work in the past 12 months ', 'Spouse worked less than full-time, year-round in the past 12 months ', 'Spouse worked full-time, year-round in the past 12 months ']",,,,
B23013,MEDIAN AGE BY SEX FOR WORKERS 16 TO 64 YEARS,,,,,,,,
B23013,dimensions,,Sex,,,,,,
B23013,values,['Total:'],"['Male', 'Female']",,,,,,
B23018,AGGREGATE USUAL HOURS WORKED IN THE PAST 12 MONTHS BY SEX FOR WORKERS 16 TO 64 YEARS,,,,,,,,
B23018,dimensions,,Sex,,,,,,
B23018,values,['Aggregate usual hours:'],"['Male', 'Female']",,,,,,
B23020,MEAN USUAL HOURS WORKED IN THE PAST 12 MONTHS FOR WORKERS 16 TO 64 YEARS,,,,,,,,
B23020,dimensions,,Sex,,,,,,
B23020,values,['Total:'],"['Male', 'Female']",,,,,,
B23022,SEX BY WORK STATUS IN THE PAST 12 MONTHS BY USUAL HOURS WORKED PER WEEK IN THE PAST 12 MONTHS BY WEEKS WORKED IN THE PAST 12 MONTHS FOR THE POPULATION 16 TO 64 YEARS,,,,,,,,
B23022,dimensions,,Sex,Labor Force Participation,Hours Worked per Week,Weeks Worked per Year,,,
B23022,values,['Total:'],"['Male:', 'Female:']","['Did not work in the past 12 months ', '', 'Worked in the past 12 months:']","['Usually worked 15 to 34 hours per week:', '', 'Usually worked 35 or more hours per week:', 'Usually worked 1 to 14 hours per week:']","['', '48 and 49 weeks ', '14 to 26 weeks ', '40 to 47 weeks ', '27 to 39 weeks ', '1 to 13 weeks ', '50 to 52 weeks ']",,,
B23024,POVERTY STATUS IN THE PAST 12 MONTHS BY DISABILITY STATUS BY EMPLOYMENT STATUS FOR THE POPULATION 20 TO 64 YEARS,,,,,,,,
B23024,dimensions,,Poverty Status,Disability Status,Labor Force Participation,,,,
B23024,values,['Total:'],"['Income in the past 12 months at or above poverty level:', 'Income in the past 12 months below poverty level:']","['', 'No disability:', 'With a disability:']","['', 'Not in labor force ', 'In labor force:']","['', 'In Armed Forces ', 'Civilian:']","['', 'Employed ', 'Unemployed ']",,
B23025,EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER,,,,,,,,
B23025,dimensions,,Labor Force Participation,Employment Status,Employment Status,,,,
B23025,values,['Total:'],"['Not in labor force', 'In labor force:']","['', 'Armed Forces', 'Civilian labor force:']","['', 'Employed', 'Unemployed']",,,,
B23026,SEX BY WORK STATUS IN THE PAST 12 MONTHS BY USUAL HOURS WORKED PER WEEK IN THE PAST 12 MONTHS BY WEEKS WORKED IN THE PAST 12 MONTHS FOR THE POPULATION 65 YEARS AND OVER,,,,,,,,
B23026,dimensions,,Sex,Labor Force Participation,Hours Worked per Week,Weeks Worked per Year,,,
B23026,values,['Total:'],"['Male:', 'Female:']","['Did not work in the past 12 months ', '', 'Worked in the past 12 months:']","['Usually worked 15 to 34 hours per week:', '', 'Usually worked 35 or more hours per week:', 'Usually worked 1 to 14 hours per week:']","['', '48 and 49 weeks ', '14 to 26 weeks ', '40 to 47 weeks ', '27 to 39 weeks ', '1 to 13 weeks ', '50 to 52 weeks ']",,,
B23027,"FULL-TIME, YEAR-ROUND WORK STATUS IN THE PAST 12 MONTHS BY AGE FOR THE POPULATION 16 YEARS AND OVER",,,,,,,,
B23027,dimensions,,Age,Labor Force Participation,Employment Status,,,,
B23027,values,['Total:'],"['70 years and over:', '65 to 69 years:', '20 to 24 years:', '25 to 44 years:', '55 to 64 years:', '45 to 54 years:', '16 to 19 years:']","['', 'Did not work in the past 12 months', 'Worked in the past 12 months:']","['', 'Worked full-time, year-round', 'Worked less than full-time, year-round']",,,,
B24011,OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS  FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,,,,,,,,
B24011,dimensions,,Occupation,Occupation,Occupation,,,,
B24011,values,['Total:'],"['Service occupations:', 'Management, business, science, and arts occupations:', 'Sales and office occupations:', 'Natural resources, construction, and maintenance occupations:', 'Production, transportation, and material moving occupations:']","['', 'Education, legal, community service, arts, and media occupations:', 'Transportation occupations', 'Material moving occupations', 'Protective service occupations:', 'Healthcare practitioners and technical occupations:', 'Healthcare support occupations', 'Production occupations', 'Office and administrative support occupations', 'Construction and extraction occupations', 'Installation, maintenance, and repair occupations', 'Management, business, and financial occupations:', 'Personal care and service occupations', 'Food preparation and serving related occupations', 'Computer, engineering, and science occupations:', 'Sales and related occupations', 'Farming, fishing, and forestry occupations', 'Building and grounds cleaning and maintenance occupations']","['', 'Arts, design, entertainment, sports, and media occupations', 'Architecture and engineering occupations', 'Community and social service occupations', 'Education, training, and library occupations', 'Business and financial operations occupations', 'Computer and mathematical occupations', 'Health diagnosing and treating practitioners and other technical occupations', 'Health technologists and technicians ', 'Law enforcement workers including supervisors', 'Legal occupations', 'Fire fighting and prevention, and other protective service workers including supervisors', 'Life, physical, and social science occupations', 'Management occupations']",,,,
C24010,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,,,,,,,,
C24010,dimensions,,Sex,Occupation,Occupation,Occupation,,,
C24010,values,['Total:'],"['Male:', 'Female:']","['', 'Service occupations:', 'Production, transportation, and material moving occupations:', 'Management, business, science, and arts occupations:', 'Natural resources, construction, and maintenance occupations:', 'Sales and office occupations:']","['', 'Education, legal, community service, arts, and media occupations:', 'Transportation occupations', 'Material moving occupations', 'Protective service occupations:', 'Healthcare practitioners and technical occupations:', 'Healthcare support occupations', 'Production occupations', 'Office and administrative support occupations', 'Construction and extraction occupations', 'Installation, maintenance, and repair occupations', 'Management, business, and financial occupations:', 'Personal care and service occupations', 'Food preparation and serving related occupations', 'Computer, engineering, and science occupations:', 'Sales and related occupations', 'Farming, fishing, and forestry occupations', 'Building and grounds cleaning and maintenance occupations']","['', 'Arts, design, entertainment, sports, and media occupations', 'Architecture and engineering occupations', 'Community and social service occupations', 'Education, training, and library occupations', 'Business and financial operations occupations', 'Computer and mathematical occupations', 'Health diagnosing and treating practitioners and other technical occupations', 'Health technologists and technicians ', 'Law enforcement workers including supervisors', 'Legal occupations', 'Fire fighting and prevention, and other protective service workers including supervisors', 'Life, physical, and social science occupations', 'Management occupations']",,,
C24010A,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER ,,,,,,,,
C24010A,dimensions,,Sex,Occupation,,,,,
C24010A,values,['Total:'],"['Male:', 'Female:']","['', 'Natural resources, construction, and maintenance occupations', 'Management, business, science, and arts occupations', 'Sales and office occupations', 'Service occupations', 'Production, transportation, and material moving occupations']",,,,,
C24010B,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER ,,,,,,,,
C24010B,dimensions,,Sex,Occupation,,,,,
C24010B,values,['Total:'],"['Male:', 'Female:']","['', 'Natural resources, construction, and maintenance occupations', 'Management, business, science, and arts occupations', 'Sales and office occupations', 'Service occupations', 'Production, transportation, and material moving occupations']",,,,,
C24010C,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER ,,,,,,,,
C24010C,dimensions,,Sex,Occupation,,,,,
C24010C,values,['Total:'],"['Male:', 'Female:']","['', 'Natural resources, construction, and maintenance occupations', 'Management, business, science, and arts occupations', 'Sales and office occupations', 'Service occupations', 'Production, transportation, and material moving occupations']",,,,,
C24010D,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER ,,,,,,,,
C24010D,dimensions,,Sex,Occupation,,,,,
C24010D,values,['Total:'],"['Male:', 'Female:']","['', 'Natural resources, construction, and maintenance occupations', 'Management, business, science, and arts occupations', 'Sales and office occupations', 'Service occupations', 'Production, transportation, and material moving occupations']",,,,,
C24010E,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER ,,,,,,,,
C24010E,dimensions,,Sex,Occupation,,,,,
C24010E,values,['Total:'],"['Male:', 'Female:']","['', 'Natural resources, construction, and maintenance occupations', 'Management, business, science, and arts occupations', 'Sales and office occupations', 'Service occupations', 'Production, transportation, and material moving occupations']",,,,,
C24010F,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER ,,,,,,,,
C24010F,dimensions,,Sex,Occupation,,,,,
C24010F,values,['Total:'],"['Male:', 'Female:']","['', 'Natural resources, construction, and maintenance occupations', 'Management, business, science, and arts occupations', 'Sales and office occupations', 'Service occupations', 'Production, transportation, and material moving occupations']",,,,,
C24010G,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER ,,,,,,,,
C24010G,dimensions,,Sex,Occupation,,,,,
C24010G,values,['Total:'],"['Male:', 'Female:']","['', 'Natural resources, construction, and maintenance occupations', 'Management, business, science, and arts occupations', 'Sales and office occupations', 'Service occupations', 'Production, transportation, and material moving occupations']",,,,,
C24010H,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER ,,,,,,,,
C24010H,dimensions,,Sex,Occupation,,,,,
C24010H,values,['Total:'],"['Male:', 'Female:']","['', 'Natural resources, construction, and maintenance occupations', 'Management, business, science, and arts occupations', 'Sales and office occupations', 'Service occupations', 'Production, transportation, and material moving occupations']",,,,,
C24010I,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER ,,,,,,,,
C24010I,dimensions,,Sex,Occupation,,,,,
C24010I,values,['Total:'],"['Male:', 'Female:']","['', 'Natural resources, construction, and maintenance occupations', 'Management, business, science, and arts occupations', 'Sales and office occupations', 'Service occupations', 'Production, transportation, and material moving occupations']",,,,,
B24012,SEX BY OCCUPATION AND MEDIAN EARNINGS IN THE PAST 12 MONTHS  FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,,,,,,,,
B24012,dimensions,,Sex,Occupation,Occupation,Occupation,,,
B24012,values,['Total:'],"['Male: ', 'Female: ']","['', 'Service occupations:', 'Production, transportation, and material moving occupations:', 'Management, business, science, and arts occupations:', 'Natural resources, construction, and maintenance occupations:', 'Sales and office occupations:']","['', 'Education, legal, community service, arts, and media occupations:', 'Transportation occupations', 'Material moving occupations', 'Protective service occupations:', 'Healthcare practitioners and technical occupations:', 'Healthcare support occupations', 'Production occupations', 'Office and administrative support occupations', 'Construction and extraction occupations', 'Installation, maintenance, and repair occupations', 'Management, business, and financial occupations:', 'Personal care and service occupations', 'Food preparation and serving related occupations', 'Computer, engineering, and science occupations:', 'Sales and related occupations', 'Farming, fishing, and forestry occupations', 'Building and grounds cleaning and maintenance occupations']","['', 'Arts, design, entertainment, sports, and media occupations', 'Architecture and engineering occupations', 'Community and social service occupations', 'Education, training, and library occupations', 'Business and financial operations occupations', 'Computer and mathematical occupations', 'Health diagnosing and treating practitioners and other technical occupations', 'Health technologists and technicians ', 'Law enforcement workers including supervisors', 'Legal occupations', 'Fire fighting and prevention, and other protective service workers including supervisors', 'Life, physical, and social science occupations', 'Management occupations']",,,
B24021,"OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS  FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",,,,,,,,
B24021,dimensions,,Occupation,Occupation,Occupation,,,,
B24021,values,['Total:'],"['Service occupations:', 'Management, business, science, and arts occupations:', 'Sales and office occupations:', 'Natural resources, construction, and maintenance occupations:', 'Production, transportation, and material moving occupations:']","['', 'Education, legal, community service, arts, and media occupations:', 'Transportation occupations', 'Material moving occupations', 'Protective service occupations:', 'Healthcare practitioners and technical occupations:', 'Healthcare support occupations', 'Production occupations', 'Office and administrative support occupations', 'Construction and extraction occupations', 'Installation, maintenance, and repair occupations', 'Management, business, and financial occupations:', 'Personal care and service occupations', 'Food preparation and serving related occupations', 'Computer, engineering, and science occupations:', 'Sales and related occupations', 'Farming, fishing, and forestry occupations', 'Building and grounds cleaning and maintenance occupations']","['', 'Arts, design, entertainment, sports, and media occupations', 'Architecture and engineering occupations', 'Community and social service occupations', 'Education, training, and library occupations', 'Business and financial operations occupations', 'Computer and mathematical occupations', 'Health diagnosing and treating practitioners and other technical occupations', 'Health technologists and technicians ', 'Law enforcement workers including supervisors', 'Legal occupations', 'Fire fighting and prevention, and other protective service workers including supervisors', 'Life, physical, and social science occupations', 'Management occupations']",,,,
C24020,"SEX BY OCCUPATION FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",,,,,,,,
C24020,dimensions,,Sex,Occupation,Occupation,Occupation,,,
C24020,values,['Total:'],"['Male:', 'Female:']","['', 'Service occupations:', 'Production, transportation, and material moving occupations:', 'Management, business, science, and arts occupations:', 'Natural resources, construction, and maintenance occupations:', 'Sales and office occupations:']","['', 'Education, legal, community service, arts, and media occupations:', 'Transportation occupations', 'Material moving occupations', 'Protective service occupations:', 'Healthcare practitioners and technical occupations:', 'Healthcare support occupations', 'Production occupations', 'Office and administrative support occupations', 'Construction and extraction occupations', 'Installation, maintenance, and repair occupations', 'Management, business, and financial occupations:', 'Personal care and service occupations', 'Food preparation and serving related occupations', 'Computer, engineering, and science occupations:', 'Sales and related occupations', 'Farming, fishing, and forestry occupations', 'Building and grounds cleaning and maintenance occupations']","['', 'Arts, design, entertainment, sports, and media occupations', 'Architecture and engineering occupations', 'Community and social service occupations', 'Education, training, and library occupations', 'Business and financial operations occupations', 'Computer and mathematical occupations', 'Health diagnosing and treating practitioners and other technical occupations', 'Health technologists and technicians ', 'Law enforcement workers including supervisors', 'Legal occupations', 'Fire fighting and prevention, and other protective service workers including supervisors', 'Life, physical, and social science occupations', 'Management occupations']",,,
B24022,"SEX BY OCCUPATION AND MEDIAN EARNINGS IN THE PAST 12 MONTHS  FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",,,,,,,,
B24022,dimensions,,Sex,Occupation,Occupation,Occupation,,,
B24022,values,['Total:'],"['Male: ', 'Female: ']","['', 'Service occupations:', 'Production, transportation, and material moving occupations:', 'Management, business, science, and arts occupations:', 'Natural resources, construction, and maintenance occupations:', 'Sales and office occupations:']","['', 'Education, legal, community service, arts, and media occupations:', 'Transportation occupations', 'Material moving occupations', 'Protective service occupations:', 'Healthcare practitioners and technical occupations:', 'Healthcare support occupations', 'Production occupations', 'Office and administrative support occupations', 'Construction and extraction occupations', 'Installation, maintenance, and repair occupations', 'Management, business, and financial occupations:', 'Personal care and service occupations', 'Food preparation and serving related occupations', 'Computer, engineering, and science occupations:', 'Sales and related occupations', 'Farming, fishing, and forestry occupations', 'Building and grounds cleaning and maintenance occupations']","['', 'Arts, design, entertainment, sports, and media occupations', 'Architecture and engineering occupations', 'Community and social service occupations', 'Education, training, and library occupations', 'Business and financial operations occupations', 'Computer and mathematical occupations', 'Health diagnosing and treating practitioners and other technical occupations', 'Health technologists and technicians ', 'Law enforcement workers including supervisors', 'Legal occupations', 'Fire fighting and prevention, and other protective service workers including supervisors', 'Life, physical, and social science occupations', 'Management occupations']",,,
B24031,INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS  FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,,,,,,,,
B24031,dimensions,,Industry,Industry,,,,,
B24031,values,['Total:'],"['Transportation and warehousing, and utilities:', 'Agriculture, forestry, fishing and hunting, and mining:', 'Wholesale trade', 'Public administration', 'Information', 'Finance and insurance, and real estate and rental and leasing:', 'Retail trade', 'Construction ', 'Other services except public administration', 'Manufacturing', 'Professional, scientific, and management, and administrative and waste management services:', 'Arts, entertainment, and recreation, and accommodations and food services', 'Educational services, and health care and social assistance:']","['', 'Mining, quarrying, and oil and gas extraction', 'Arts, entertainment, and recreation', 'Utilities ', 'Transportation and warehousing', 'Professional, scientific, and technical services', 'Management of companies and enterprises', 'Educational services', 'Health care and social assistance', 'Administrative and support and waste management services', 'Accommodation and food services', 'Finance and insurance ', 'Agriculture, forestry, fishing and hunting', 'Real estate and rental and leasing ']",,,,,
B24032,SEX BY INDUSTRY AND MEDIAN EARNINGS IN THE PAST 12 MONTHS  FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,,,,,,,,
B24032,dimensions,,Sex,Industry,Industry,,,,
B24032,values,,"['Male:', 'Female:']","['Transportation and warehousing, and utilities:', 'Agriculture, forestry, fishing and hunting, and mining:', 'Wholesale trade', 'Public administration', 'Information', 'Finance and insurance, and real estate and rental and leasing:', '', 'Retail trade', 'Construction ', 'Other services except public administration', 'Manufacturing', 'Professional, scientific, and management, and administrative and waste management services:', 'Arts, entertainment, and recreation, and accommodations and food services', 'Educational services, and health care and social assistance:']","['', 'Mining, quarrying, and oil and gas extraction', 'Arts, entertainment, and recreation', 'Utilities ', 'Transportation and warehousing', 'Professional, scientific, and technical services', 'Management of companies and enterprises', 'Educational services', 'Health care and social assistance', 'Administrative and support and waste management services', 'Accommodation and food services', 'Finance and insurance ', 'Agriculture, forestry, fishing and hunting', 'Real estate and rental and leasing ']",,,,
C24030,SEX BY INDUSTRY FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER,,,,,,,,
C24030,dimensions,,Sex,Industry,Industry,,,,
C24030,values,['Total:'],"['Male:', 'Female:']","['Transportation and warehousing, and utilities:', 'Agriculture, forestry, fishing and hunting, and mining:', 'Wholesale trade', 'Public administration', 'Information', 'Finance and insurance, and real estate and rental and leasing:', 'Other services, except public administration', '', 'Retail trade', 'Construction', 'Manufacturing', 'Professional, scientific, and management, and administrative and waste management services:', 'Arts, entertainment, and recreation, and accommodation and food services:', 'Educational services, and health care and social assistance:']","['', '   Management of companies and enterprises', '   Utilities', '   Health care and social assistance', '   Professional, scientific, and technical services', '   Educational services', '   Accommodation and food services', '   Transportation and warehousing', '   Finance and insurance', '   Real estate and rental and leasing', '   Arts, entertainment, and recreation', '   Agriculture, forestry, fishing and hunting', '   Administrative and support and waste management services', '   Mining, quarrying, and oil and gas extraction']",,,,
B24041,"INDUSTRY BY MEDIAN EARNINGS IN THE PAST 12 MONTHS  FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",,,,,,,,
B24041,dimensions,,Industry,Industry,,,,,
B24041,values,['Total:'],"['Transportation and warehousing, and utilities:', 'Agriculture, forestry, fishing and hunting, and mining:', 'Wholesale trade', 'Public administration', 'Information', 'Finance and insurance, and real estate and rental and leasing:', 'Retail trade', 'Construction ', 'Other services except public administration', 'Manufacturing', 'Professional, scientific, and management, and administrative and waste management services:', 'Arts, entertainment, and recreation, and accommodation and food services:', 'Educational services, and health care and social assistance:']","['', 'Mining, quarrying, and oil and gas extraction', 'Arts, entertainment, and recreation', 'Utilities ', 'Transportation and warehousing', 'Professional, scientific, and technical services', 'Management of companies and enterprises', 'Educational services', 'Health care and social assistance', 'Administrative and support and waste management services', 'Accommodation and food services', 'Finance and insurance ', 'Agriculture, forestry, fishing and hunting', 'Real estate and rental and leasing ']",,,,,
B24042,"SEX BY INDUSTRY AND MEDIAN EARNINGS IN THE PAST 12 MONTHS  FOR THE FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",,,,,,,,
B24042,dimensions,,Sex,Industry,Industry,,,,
