q_id,Category,Universe,Question Name
B13010,Fertility,women 15 to 50 years for whom poverty status is determined,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND POVERTY STATUS IN THE PAST 12 MONTHS
B13012,Fertility,women 16 to 50 years,WOMEN 16 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND LABOR FORCE STATUS
B13014,Fertility,women 15 to 50 years,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND EDUCATIONAL ATTAINMENT
B13015,Fertility,women 15 to 50 years,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND RECEIPT OF PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS
B13016,Fertility,women 15 to 50 years,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY AGE
B14001,School Enrollment,population 3 years and over,SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER
B14002,School Enrollment,population 3 years and over,SEX BY SCHOOL ENROLLMENT BY LEVEL OF SCHOOL BY TYPE OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER
B14003,School Enrollment,population 3 years and over,SEX BY SCHOOL ENROLLMENT BY TYPE OF SCHOOL BY AGE FOR THE POPULATION 3 YEARS AND OVER
B14004,School Enrollment,population 15 years and over,SEX BY COLLEGE OR GRADUATE SCHOOL ENROLLMENT BY TYPE OF SCHOOL BY AGE FOR THE POPULATION 15 YEARS AND OVER
B14005,School Enrollment,population 16 to 19 years,SEX BY SCHOOL ENROLLMENT BY EDUCATIONAL ATTAINMENT BY EMPLOYMENT STATUS FOR THE POPULATION 16 TO 19 YEARS
B14006,School Enrollment,population 3 years and over for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS BY SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER
B14007,School Enrollment,universe: population 3 years and over,SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER
B14007A,School Enrollment,white alone population 3 years and over,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER 
B14007B,School Enrollment,black or african american alone population 3 years and over,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER 
B14007C,School Enrollment,american indian and alaska native alone population 3 years and over,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER 
B14007D,School Enrollment,asian alone population 3 years and over,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER 
B14007E,School Enrollment,native hawaiian and other pacific islander alone population 3 years and over,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER 
B14007F,School Enrollment,some other race alone population 3 years and over,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER 
B14007G,School Enrollment,two or more races population 3 years and over,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER 
B14007H,School Enrollment,"white alone, not hispanic or latino, population 3 years and over",SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER 
B14007I,School Enrollment,hispanic or latino population 3 years and over,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER 
B15001,Educational Attainment,population 18 years and over,SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER
B15002,Educational Attainment,population 25 years and over,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
B15003,Educational Attainment,population 25 years and over,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER
C15002A,Educational Attainment,white alone population 25 years and over,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER 
C15002B,Educational Attainment,black or african american alone population 25 years and over,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER 
C15002C,Educational Attainment,american indian and alaska native alone population 25 years and over,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER 
C15002D,Educational Attainment,asian alone population 25 years and over,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER 
C15002E,Educational Attainment,native hawaiian and other pacific islander alone population 25 years and over,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER 
C15002F,Educational Attainment,some other race alone population 25 years and over,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER 
C15002G,Educational Attainment,two or more races population 25 years and over,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER 
C15002H,Educational Attainment,"white alone, not hispanic or latino population 25 years and over",SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER 
C15002I,Educational Attainment,hispanic or latino population 25 years and over,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER 
B15011,Educational Attainment,population 25 years and over with a bachelor's degree or higher attainment,SEX BY AGE BY FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR FOR THE POPULATION 25 YEARS AND OVER
B15012,Educational Attainment,total bachelor's degree majors tallied for people 25 years and over with a bachelor's degree or higher attainment,TOTAL FIELDS OF BACHELOR'S DEGREES REPORTED
C15010,Educational Attainment,population 25 years and over with a bachelor's degree or higher attainment,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR FOR THE POPULATION 25 YEARS AND OVER
C15010A,Educational Attainment,universe: white alone population 25 years and over with a bachelor's degree or higher attainment,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER 
C15010B,Educational Attainment,universe: black or african american alone population 25 years and over with a bachelor's degree or higher attainment,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER 
C15010C,Educational Attainment,universe: american indian and alaska native alone population 25 years and over with a bachelor's degree or higher attainment,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER 
C15010D,Educational Attainment,universe: asian alone population 25 years and over with a bachelor's degree or higher attainment,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER 
C15010E,Educational Attainment,universe: native hawaiian and other pacific islander alone population 25 years and over with a bachelor's degree or higher attainment,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER 
C15010F,Educational Attainment,universe: some other race alone population 25 years and over with a bachelor's degree or higher attainment,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER 
C15010G,Educational Attainment,universe: two or more races population 25 years and over with a bachelor's degree or higher attainment,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER 
C15010H,Educational Attainment,"universe: white alone, not hispanic or latino population 25 years and over with a bachelor's degree or higher attainment",FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER 
C15010I,Educational Attainment,universe: hispanic or latino population 25 years and over with a bachelor's degree or higher attainment,FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR THE POPULATION 25 YEARS AND OVER 
B16001,Language,population 5 years and over,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
B16002,Language,households,HOUSEHOLD LANGUAGE BY HOUSEHOLD LIMITED ENGLISH SPEAKING STATUS
B16003,Language,"population 5 years and over in households in which no one 14 and over speaks english only or speaks a language other than english at home and speaks english ""very well""",AGE BY LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER IN LIMITED ENGLISH SPEAKING HOUSEHOLDS
B16004,Language,population 5 years and over,AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
B16005,Language,population 5 years and over,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
B16005A,Language,white alone population 5 years and over,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER 
B16005B,Language,black or african american alone population 5 years and over,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER 
B16005C,Language,american indian and alaska native alone population 5 years and over,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER 
B16005D,Language,asian alone population 5 years and over,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER 
B16005E,Language,native hawaiian and other pacific islander alone population 5 years and over,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER 
B16005F,Language,some other race alone population 5 years and over,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER 
B16005G,Language,two or more races population 5 years and over,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER 
B16005H,Language,"white alone, not hispanic or latino population 5 years and over",NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER 
B16005I,Language,hispanic or latino population 5 years and over,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER 
B16006,Language,hispanic or latino population 5 years and over,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER 
B16007,Language,population 5 years and over,AGE BY LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER
B16008,Language,population 5 years and over,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER
B16009,Language,population 5 years and over for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE BY LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER
B16010,Language,population 25 years and over,EDUCATIONAL ATTAINMENT AND EMPLOYMENT STATUS BY LANGUAGE SPOKEN AT HOME FOR THE POPULATION 25 YEARS AND OVER
B17001,Poverty,population for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE
B17001A,Poverty,white alone population for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE 
B17001B,Poverty,black or african american alone population for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE 
B17001C,Poverty,american indian and alaska native alone population for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE 
B17001D,Poverty,asian alone population for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE 
B17001E,Poverty,native hawaiian and other pacific islander alone population for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE 
B17001F,Poverty,some other race alone population for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE 
B17001G,Poverty,two or more races population for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE 
B17001H,Poverty,"white alone, not hispanic or latino population for whom poverty status is determined",POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE 
B17001I,Poverty,hispanic or latino population for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE 
B17003,Poverty,population 25 years and over for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT
B17004,Poverty,population 16 years and over for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY WORK EXPERIENCE
B17005,Poverty,civilian population 16 years and over for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS
B17006,Poverty,related children under 18 years,POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS
C17002,Poverty,population for whom poverty status is determined,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS
B17007,Poverty,unrelated individuals 15 years and over for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS OF UNRELATED INDIVIDUALS 15 YEARS AND OVER BY SEX BY AGE
B17008,Poverty,unrelated individuals 15 years and over for whom poverty status is determined,AGGREGATE INCOME DEFICIT  IN THE PAST 12 MONTHS OF UNRELATED INDIVIDUALS BY SEX
B17009,Poverty,unrelated individuals 15 years and over for whom poverty status is determined,POVERTY STATUS BY WORK EXPERIENCE OF UNRELATED INDIVIDUALS BY HOUSEHOLDER STATUS
B17010,Poverty,families,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN
B17010A,Poverty,families with a householder who is white alone,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN 
B17010B,Poverty,families with a householder who is black or african american alone,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN 
B17010C,Poverty,families with a householder who is american indian and alaska native alone,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN 
B17010D,Poverty,families with a householder who is asian alone,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN 
B17010E,Poverty,families with a householder who is native hawaiian and other pacific islander alone,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN 
B17010F,Poverty,families with a householder who is some other race alone,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN 
B17010G,Poverty,families with a householder who is two or more races,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN 
B17010H,Poverty,"families with a householder who is white alone, not hispanic or latino",POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN 
B17010I,Poverty,families with a householder who is hispanic or latino,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN 
B17011,Poverty,families with income in the past 12 months below the poverty level,AGGREGATE INCOME DEFICIT  IN THE PAST 12 MONTHS FOR FAMILIES BY FAMILY TYPE
B17012,Poverty,families,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY NUMBER OF RELATED CHILDREN UNDER 18 YEARS
B17013,Poverty,families,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY NUMBER OF PERSONS IN FAMILY
B17014,Poverty,families,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY NUMBER OF WORKERS IN FAMILY
B17015,Poverty,families,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY SOCIAL SECURITY INCOME BY SUPPLEMENTAL SECURITY INCOME  AND CASH PUBLIC ASSISTANCE INCOME
B17016,Poverty,families,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY WORK EXPERIENCE OF HOUSEHOLDER AND SPOUSE
B17017,Poverty,households,POVERTY STATUS IN THE PAST 12 MONTHS BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER
B17018,Poverty,families,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY EDUCATIONAL ATTAINMENT OF HOUSEHOLDER
B17019,Poverty,families,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY TENURE
B17020,Poverty,population for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE
B17020A,Poverty,white alone population for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE 
B17020B,Poverty,black or african american alone population for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE 
B17020C,Poverty,american indian and alaska native alone population for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE 
B17020D,Poverty,asian alone population for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE 
B17020E,Poverty,native hawaiian and other pacific islander alone population for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE 
B17020F,Poverty,some other race alone population for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE 
B17020G,Poverty,two or more races population for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE 
B17020H,Poverty,"white alone, not hispanic or latino population for whom poverty status is determined",POVERTY STATUS IN THE PAST 12 MONTHS BY AGE 
B17020I,Poverty,hispanic or latino population for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE 
B17021,Poverty,population for whom poverty status is determined,POVERTY STATUS OF INDIVIDUALS IN THE PAST 12 MONTHS BY LIVING ARRANGEMENT
B17022,Poverty,families,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN
B17023,Poverty,families,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY NUMBER OF OWN CHILDREN UNDER 18 YEARS
B17024,Poverty,universe: population for whom poverty status is determined,AGE BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS
B17025,Poverty,universe: population for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS BY NATIVITY
B17026,Poverty,families,RATIO OF INCOME TO POVERTY LEVEL OF FAMILIES IN THE PAST 12 MONTHS
B18101,Disability,civilian noninstitutionalized population,SEX BY AGE BY DISABILITY STATUS
B18101A,Disability,white alone civilian noninstitutionalized population,AGE BY DISABILITY STATUS 
B18101B,Disability,black or african american alone civilian noninstitutionalized population,AGE BY DISABILITY STATUS 
B18101C,Disability,american indian and alaska native alone civilian noninstitutionalized population,AGE BY DISABILITY STATUS 
B18101D,Disability,asian alone civilian noninstitutionalized population,AGE BY DISABILITY STATUS 
B18101E,Disability,native hawaiian and other pacific islander alone civilian noninstitutionalized population,AGE BY DISABILITY STATUS 
B18101F,Disability,some other race alone civilian noninstitutionalized population,AGE BY DISABILITY STATUS 
B18101G,Disability,two or more races civilian noninstitutionalized population,AGE BY DISABILITY STATUS 
B18101H,Disability,"white alone, not hispanic or latino civilian noninstitutionalized population",AGE BY DISABILITY STATUS 
B18101I,Disability,hispanic or latino civilian noninstitutionalized population,AGE BY DISABILITY STATUS 
B18102,Disability,civilian noninstitutionalized population,SEX BY AGE BY HEARING DIFFICULTY
B18103,Disability,civilian noninstitutionalized population,SEX BY AGE BY VISION DIFFICULTY
B18104,Disability,civilian noninstitutionalized population 5 years and over,SEX BY AGE BY COGNITIVE DIFFICULTY
B18105,Disability,civilian noninstitutionalized population 5 years and over,SEX BY AGE BY AMBULATORY DIFFICULTY
B18106,Disability,civilian noninstitutionalized population 5 years and over,SEX BY AGE BY SELF-CARE DIFFICULTY
B18107,Disability,civilian noninstitutionalized population 18 years and over,SEX BY AGE BY INDEPENDENT LIVING DIFFICULTY
B18135,Disability,civilian noninstitutionalized population,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
B18140,Disability,civilian noninstitutionalized population 16 years and over with earnings in the past 12 months,MEDIAN EARNINGS IN THE PAST 12 MONTHS  BY DISABILITY STATUS BY SEX FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION 16 YEARS AND OVER WITH EARNINGS
C18108,Disability,civilian noninstitutionalized population,AGE BY NUMBER OF DISABILITIES
C18120,Disability,civilian noninstitutionalized population 18 to 64 years,EMPLOYMENT STATUS BY DISABILITY STATUS
C18121,Disability,civilian noninstitutionalized population 18 to 64 years,WORK EXPERIENCE BY DISABILITY STATUS
C18130,Disability,civilian noninstitutionalized population for whom poverty status is determined,AGE BY DISABILITY STATUS BY POVERTY STATUS
C18131,Disability,civilian noninstitutionalized population for whom poverty status is determined,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY DISABILITY STATUS
B19001,Income,households,HOUSEHOLD INCOME IN THE PAST 12 MONTHS 
B19001A,Income,households with a householder who is white alone,HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19001B,Income,households with a householder who is black or african american alone,HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19001C,Income,households with a householder who is american indian and alaska native alone,HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19001D,Income,households with a householder who is asian alone,HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19001E,Income,households with a householder who is native hawaiian and other pacific islander alone,HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19001F,Income,households with a householder who is some other race alone,HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19001G,Income,households with a householder who is two or more races,HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19001H,Income,"households with a householder who is white alone, not hispanic or latino",HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19001I,Income,households with a householder who is hispanic or latino,HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19013,Income,households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS 
B19013A,Income,households with a householder who is white alone,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19013B,Income,households with a householder who is black or african american alone,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19013C,Income,households with a householder who is american indian and alaska native alone,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19013D,Income,households with a householder who is asian alone,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19013E,Income,households with a householder who is native hawaiian and other pacific islander alone,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19013F,Income,households with a householder who is some other race alone,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19013G,Income,households with a householder who is two or more races,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19013H,Income,"households with a householder who is white alone, not hispanic or latino",MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19013I,Income,households with a householder who is hispanic or latino,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19019,Income,households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS  BY HOUSEHOLD SIZE
B19025,Income,households,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS 
B19025A,Income,households with a householder who is white alone,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19025B,Income,households with a householder who is black or african american alone,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19025C,Income,households with a householder who is american indian and alaska native alone,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19025D,Income,households with a householder who is asian alone,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19025E,Income,households with a householder who is native hawaiian and other pacific islander alone,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19025F,Income,households with a householder who is some other race alone,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19025G,Income,households with a householder who is two or more races,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19025H,Income,"households with a householder who is white alone, not hispanic or latino",AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19025I,Income,households with a householder who is hispanic or latino,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19037,Income,households,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS 
B19037A,Income,households with a householder who is white alone,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19037B,Income,households with a householder who is black or african american alone,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19037C,Income,households with a householder who is american indian and alaska native alone,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19037D,Income,households with a householder who is asian alone,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19037E,Income,households with a householder who is native hawaiian and other pacific islander alone,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19037F,Income,households with a householder who is some other race alone,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19037G,Income,households with a householder who is two or more races,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19037H,Income,"households with a householder who is white alone, not hispanic or latino",AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19037I,Income,households with a householder who is hispanic or latino,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS  
B19049,Income,households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS  BY AGE OF HOUSEHOLDER
B19050,Income,households,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS  BY AGE OF HOUSEHOLDER
B19051,Income,households,EARNINGS IN THE PAST 12 MONTHS FOR HOUSEHOLDS
B19052,Income,households,WAGE OR SALARY INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS
B19053,Income,households,SELF-EMPLOYMENT INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS
B19054,Income,households,"INTEREST, DIVIDENDS, OR NET RENTAL INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS"
